LLM,Scenarios,Paired_They_vs_He,Paired_They_vs_She,Paired_Difference,Distribution_They_vs_He,Distribution_They_vs_She,Distribution_Difference,Bias_Direction,Bias_Strength_%
GPT,22,0.8806728008635809,0.8242198006378727,0.056453000225708205,0.897656413689022,0.8166666666666665,0.08098974702235551,Male-aligned,8.098974702235552
Claude,22,0.7530992240668153,0.5683548702233109,0.1847443538435044,0.8606684942167381,0.7587185003043768,0.10194999391236126,Male-aligned,10.194999391236125
Copilot,22,0.8839174684856906,0.888948042450386,0.005030573964695306,0.9018533352710064,0.7759835936631707,0.1258697416078357,Male-aligned,12.586974160783571
Gemini,23,0.7086122917915778,0.8433500814233137,0.13473778963173588,0.8937774072664932,0.9272198264554363,0.033442419188943084,Female-aligned,3.3442419188943084
Grok,23,0.7998916615028635,0.7223315497897624,0.07756011171310107,0.6153972592780507,0.9616373549594509,0.34624009568140024,Female-aligned,34.624009568140025
Deepseek,24,0.7849860862593333,0.7664977003195401,0.018488385939793184,0.8807710121010885,0.9129285580967179,0.032157545995629366,Female-aligned,3.2157545995629366
